Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,56.333302,56.633301,55.516701,55.716702,16.087690,561132
2007-01-03,55.866699,56.500000,55.358299,56.325001,16.263332,1950906
2007-01-04,57.599998,58.750000,57.000000,57.575001,16.624258,6962976
2007-01-05,58.500000,59.900002,58.000000,58.700001,16.949091,4472076
2007-01-08,58.849998,59.566700,58.333302,58.674999,16.941872,3166146
2007-01-09,58.500000,59.483299,57.091702,57.541698,16.614641,1226124
2007-01-10,58.000000,58.150002,55.266701,57.500000,16.602600,2841288
2007-01-11,58.166698,59.316700,57.583302,59.108299,17.066984,2884326
2007-01-12,59.666698,62.216702,59.666698,61.308300,17.702213,7727694
2007-01-15,61.666698,61.666698,58.341702,58.633301,18.766430,3179760
2007-01-16,58.816700,59.166698,57.683300,57.933300,18.542385,1303074
2007-01-17,58.666698,60.250000,58.333302,59.991699,19.201202,3079728
2007-01-18,59.666698,61.666698,58.924999,60.991699,19.521265,3739782
2007-01-19,61.333302,62.466702,60.683300,60.966702,19.513266,4925232
2007-01-22,60.966702,61.666698,60.208302,61.191700,19.585281,3513216
2007-01-23,60.349998,60.983299,59.000000,59.549999,19.059835,2753670
2007-01-24,59.333302,59.333302,58.191700,58.875000,18.843788,2315964
2007-01-25,58.333302,60.333302,58.291698,59.808300,19.142504,3611982
2007-01-29,59.583302,60.833302,59.333302,60.516701,19.369242,3408174
2007-01-31,60.833302,60.833302,59.341702,60.066700,19.225210,1920108
2007-02-01,59.166698,59.908298,58.849998,59.658298,19.094498,1210260
2007-02-02,59.983299,59.983299,58.516701,58.741699,18.801125,3222828
2007-02-05,58.500000,59.991699,57.666698,59.783298,19.134502,1650582
2007-02-06,59.833302,59.833302,58.633301,59.174999,18.939806,1864452
2007-02-07,59.150002,59.166698,57.341702,57.633301,18.446363,1998804
2007-02-08,58.166698,58.333302,57.058300,58.266701,18.649094,2210328
2007-02-09,57.833302,57.833302,57.099998,57.366699,18.361036,1150326
2007-02-12,56.841702,57.816700,54.750000,55.308300,17.702213,1157850
2007-02-13,53.358299,55.658298,53.358299,54.775002,17.531525,1706928
2007-02-14,53.416698,54.650002,53.183300,54.066700,17.304827,953682
2007-02-15,54.166698,56.833302,52.916698,54.641701,17.488859,5336328
2007-02-19,54.166698,56.183300,53.349998,55.916698,17.896942,1320606
2007-02-20,56.500000,56.750000,55.025002,55.308300,17.702213,2705142
2007-02-21,55.041698,56.666698,55.041698,56.000000,17.923605,1936842
2007-02-22,56.000000,56.658298,54.375000,54.841702,17.552872,2318496
2007-02-23,58.333302,58.333302,52.599998,52.883301,16.926060,2017512
2007-02-26,53.666698,53.666698,51.666698,52.575001,16.827381,1570272
2007-02-27,52.833302,52.833302,51.341702,51.549999,16.499319,2820870
2007-02-28,50.166698,52.641701,48.833302,51.875000,16.603338,5082888
2007-03-01,52.466702,52.466702,50.333302,51.650002,16.531326,2456688
2007-03-02,50.616699,52.166698,49.666698,50.008301,16.005877,1394394
2007-03-05,48.833302,49.966702,47.500000,48.183300,15.421758,2914038
2007-03-06,49.166698,51.083302,49.166698,50.549999,16.179256,8722644
2007-03-07,51.166698,51.500000,49.208302,50.008301,16.005877,7827822
2007-03-08,49.666698,50.400002,49.333302,49.991699,16.000561,6466032
2007-03-09,50.400002,50.400002,49.008301,49.466702,15.832528,1059762
2007-03-12,50.166698,50.908298,49.833302,50.633301,16.205915,3666876
2007-03-13,51.166698,51.166698,50.183300,50.616699,16.200598,919908
2007-03-14,50.500000,59.799999,46.974998,49.241699,15.760511,2018622
2007-03-15,49.833302,50.166698,48.349998,49.208302,15.749823,1368942
2007-03-16,49.500000,51.000000,49.500000,50.208302,16.069887,3699540
2007-03-19,50.666698,51.883301,50.333302,51.208302,16.389952,3381450
2007-03-20,51.208302,53.908298,50.833302,53.208302,17.030079,3391512
2007-03-21,52.599998,53.150002,51.750000,52.000000,16.643347,1229184
2007-03-22,52.000000,53.250000,52.000000,52.308300,16.742022,1025874
