Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,281.625000,287.125000,279.763000,284.080994,82.335915,8629864
2007-01-03,284.080994,290.000000,284.080994,288.919006,83.738113,10889256
2007-01-04,290.149994,290.625000,284.381012,285.662994,82.794434,8777064
2007-01-05,285.750000,288.125000,281.944000,284.381012,82.422852,7021952
2007-01-08,284.381012,285.000000,274.062012,275.700012,79.906830,18481368
2007-01-09,277.000000,279.431000,271.674988,273.763000,79.345428,13416408
2007-01-10,275.000000,275.000000,269.174988,270.556000,78.415939,15159184
2007-01-11,272.625000,276.862000,261.894012,272.875000,79.088036,34092208
2007-01-12,275.000000,278.962006,275.000000,277.924988,80.551704,13832688
2007-01-15,279.118988,280.944000,278.750000,280.368988,81.260048,10134760
2007-01-16,280.649994,281.250000,277.013000,277.774994,80.508217,5113808
2007-01-17,280.625000,280.625000,274.644012,275.681000,79.901321,8803400
2007-01-18,275.750000,279.125000,275.750000,278.019012,80.578941,7906152
2007-01-19,278.125000,279.750000,273.125000,275.294006,79.789162,11551144
2007-01-22,276.875000,282.500000,275.549988,281.750000,81.660324,9721392
2007-01-23,281.000000,281.000000,277.519012,279.394012,80.977463,6907168
2007-01-24,275.125000,282.125000,275.125000,279.256012,80.937469,3660880
2007-01-25,280.125000,281.837006,277.674988,280.125000,81.189339,6798352
2007-01-29,279.375000,281.875000,276.544006,280.549988,81.312515,6550912
2007-01-31,280.000000,281.875000,277.669006,280.912994,81.417725,9171104
2007-02-01,281.250000,284.375000,279.794006,283.618988,82.201988,3367264
2007-02-02,284.375000,285.000000,280.263000,283.194000,82.078835,9842920
2007-02-05,279.375000,284.549988,279.375000,283.662994,82.214775,7299072
2007-02-06,283.750000,285.868988,282.500000,284.118988,82.346931,6560944
2007-02-07,281.944000,296.250000,281.944000,294.631012,85.393646,14498464
2007-02-08,295.625000,297.500000,291.700012,296.712006,85.996803,6571448
2007-02-09,296.799988,299.750000,292.250000,295.156006,85.545792,6304808
2007-02-12,291.875000,296.212006,288.888000,293.906006,85.183517,4868088
2007-02-13,293.875000,294.812012,284.575012,288.024994,83.479004,7561016
