Date,Open,High,Low,Close,Adj Close,Volume
2007-02-23,249.000000,250.050003,240.000000,241.899994,224.260345,687757
2007-02-26,242.000000,246.500000,235.399994,245.000000,227.134262,510684
2007-02-27,246.899994,246.899994,238.050003,239.649994,222.174393,497377
2007-02-28,235.000000,239.800003,220.100006,231.949997,215.035889,1185786
2007-03-01,235.800003,236.050003,225.000000,229.699997,212.949966,1464477
2007-03-02,228.000000,232.899994,223.649994,225.199997,208.778107,535489
2007-03-05,222.899994,223.949997,215.000000,217.199997,201.361496,660679
2007-03-06,221.000000,224.699997,216.000000,221.850006,205.672394,399245
2007-03-07,222.100006,235.500000,222.100006,231.550003,214.665085,1435391
2007-03-08,232.000000,238.000000,226.949997,236.550003,219.300461,519542
2007-03-09,237.000000,237.100006,226.600006,229.149994,212.440079,463407
2007-03-12,232.000000,234.000000,228.050003,232.350006,215.406738,707948
2007-03-13,230.500000,237.550003,227.699997,236.550003,219.300461,715607
2007-03-14,229.600006,238.000000,226.100006,230.600006,213.784332,802567
2007-03-15,234.800003,235.949997,226.050003,227.600006,211.003113,412758
2007-03-16,226.000000,231.949997,220.649994,222.949997,206.692215,354289
2007-03-19,224.100006,227.000000,223.500000,224.850006,208.453644,322058
2007-03-20,180.250000,231.399994,180.250000,230.500000,213.691605,700836
2007-03-21,231.000000,233.050003,229.000000,232.500000,215.545807,363724
2007-03-22,232.000000,239.000000,232.000000,235.300003,218.141617,1320258
2007-03-23,234.000000,243.899994,232.250000,240.949997,223.379608,893603
2007-03-26,243.000000,244.449997,235.000000,237.300003,219.995773,685423
2007-03-28,246.750000,246.750000,228.000000,234.199997,217.121857,1129768
2007-03-29,243.550003,243.550003,232.000000,236.399994,219.161392,1299874
2007-03-30,238.449997,238.449997,234.100006,236.800003,219.532211,1030531
2007-04-02,234.000000,238.000000,223.149994,225.600006,209.148941,591871
2007-04-03,229.000000,229.000000,220.500000,224.149994,207.804642,1228561
2007-04-04,227.000000,230.000000,225.199997,229.500000,212.764557,364248
2007-04-05,232.750000,235.000000,227.350006,232.550003,215.592148,740032
2007-04-09,235.850006,239.649994,233.550003,235.300003,218.141617,347446
2007-04-10,235.000000,236.500000,231.100006,234.699997,217.585358,350126
2007-04-11,235.050003,238.949997,232.100006,236.100006,218.883270,400571
2007-04-12,231.600006,235.149994,230.000000,232.399994,215.453064,713260
2007-04-13,234.000000,237.000000,231.100006,232.399994,215.453064,487186
2007-04-16,230.000000,236.800003,227.050003,235.399994,218.234329,1417165
